Freq.	I(R1)	abs(V(n001))/abs(I(R1))
2.08929613085404e+003	8.63025212488794e-006,1.31375089853737e-003	7.61162884698084e+003,0.00000000000000e+000
2.13796208950223e+003	9.03765547888776e-006,1.34440070911246e-003	7.43809043223667e+003,0.00000000000000e+000
2.18776162394955e+003	9.46432408722161e-006,1.37576792645950e-003	7.26849579209221e+003,0.00000000000000e+000
2.23872113856834e+003	9.91117216952825e-006,1.40786951052861e-003	7.10275500526724e+003,0.00000000000000e+000
2.29086765276777e+003	1.03791576386225e-005,1.44072283420892e-003	6.94078019384865e+003,0.00000000000000e+000
2.34422881531992e+003	1.08692842185556e-005,1.47434569423333e-003	6.78248547669662e+003,0.00000000000000e+000
2.39883291901949e+003	1.13826036682152e-005,1.50875632243006e-003	6.62778692390957e+003,0.00000000000000e+000
2.45470891568503e+003	1.19202181159982e-005,1.54397339733586e-003	6.47660251232364e+003,0.00000000000000e+000
2.51188643150958e+003	1.24832825114027e-005,1.58001605618642e-003	6.32885208202319e+003,0.00000000000000e+000
2.57039578276886e+003	1.30730071997206e-005,1.61690390730059e-003	6.18445729383930e+003,0.00000000000000e+000
2.63026799189538e+003	1.36906606263745e-005,1.65465704287603e-003	6.04334158781354e+003,0.00000000000000e+000
2.69153480392691e+003	1.43375721778155e-005,1.69329605221456e-003	5.90543014260525e+003,0.00000000000000e+000
2.75422870333816e+003	1.50151351663132e-005,1.73284203539708e-003	5.77064983582065e+003,0.00000000000000e+000
2.81838293126445e+003	1.57248099663950e-005,1.77331661742866e-003	5.63892920524269e+003,0.00000000000000e+000
2.88403150312660e+003	1.64681273111585e-005,1.81474196287592e-003	5.51019841094135e+003,0.00000000000000e+000
2.95120922666638e+003	1.72466917571727e-005,1.85714079102007e-003	5.38438919824395e+003,0.00000000000000e+000
3.01995172040201e+003	1.80621853272107e-005,1.90053639155029e-003	5.26143486154613e+003,0.00000000000000e+000
3.09029543251359e+003	1.89163713406230e-005,1.94495264082389e-003	5.14127020894417e+003,0.00000000000000e+000
3.16227766016838e+003	1.98110984417598e-005,1.99041401872113e-003	5.02383152766989e+003,0.00000000000000e+000
3.23593656929628e+003	2.07483048375008e-005,2.03694562612432e-003	4.90905655030994e+003,0.00000000000000e+000
3.31131121482591e+003	2.17300227556411e-005,2.08457320305299e-003	4.79688442179138e+003,0.00000000000000e+000
3.38844156139202e+003	2.27583831366231e-005,2.13332314748837e-003	4.68725566711621e+003,0.00000000000000e+000
3.46736850452531e+003	2.38356205719017e-005,2.18322253492327e-003	4.58011215982766e+003,0.00000000000000e+000
3.54813389233575e+003	2.49640785030833e-005,2.23429913867509e-003	4.47539709119153e+003,0.00000000000000e+000
3.63078054770101e+003	2.61462146968968e-005,2.28658145100262e-003	4.37305494007635e+003,0.00000000000000e+000
3.71535229097172e+003	2.73846070120411e-005,2.34009870506987e-003	4.27303144351613e+003,0.00000000000000e+000
3.80189396320561e+003	2.86819594750155e-005,2.39488089780273e-003	4.17527356794049e+003,0.00000000000000e+000
3.89045144994280e+003	3.00411086831792e-005,2.45095881368770e-003	4.07972948105650e+003,0.00000000000000e+000
3.98107170553497e+003	3.14650305545187e-005,2.50836404956515e-003	3.98634852436767e+003,0.00000000000000e+000
4.07380277804112e+003	3.29568474449259e-005,2.56712904047272e-003	3.89508118631532e+003,0.00000000000000e+000
4.16869383470335e+003	3.45198356552213e-005,2.62728708659893e-003	3.80587907602818e+003,0.00000000000000e+000
4.26579518801592e+003	3.61574333517000e-005,2.68887238141057e-003	3.71869489766624e+003,0.00000000000000e+000
4.36515832240165e+003	3.78732489256467e-005,2.75192004102213e-003	3.63348242534541e+003,0.00000000000000e+000
4.46683592150962e+003	3.96710698190690e-005,2.81646613488030e-003	3.55019647862943e+003,0.00000000000000e+000
4.57088189614874e+003	4.15548718458496e-005,2.88254771784141e-003	3.46879289857641e+003,0.00000000000000e+000
4.67735141287197e+003	4.35288290396306e-005,2.95020286372558e-003	3.38922852432687e+003,0.00000000000000e+000
4.78630092322637e+003	4.55973240620315e-005,3.01947070043678e-003	3.31146117022134e+003,0.00000000000000e+000
4.89778819368445e+003	4.77649592072858e-005,3.09039144674479e-003	3.23544960343500e+003,0.00000000000000e+000
5.01187233627271e+003	5.00365680420737e-005,3.16300645083187e-003	3.16115352211779e+003,0.00000000000000e+000
5.12861383991364e+003	5.24172277222550e-005,3.23735823071394e-003	3.08853353402820e+003,0.00000000000000e+000
5.24807460249772e+003	5.49122720313856e-005,3.31349051665494e-003	3.01755113564964e+003,0.00000000000000e+000
5.37031796370252e+003	5.75273051893607e-005,3.39144829570069e-003	2.94816869177815e+003,0.00000000000000e+000
5.49540873857624e+003	6.02682164832926e-005,3.47127785846882e-003	2.88034941557068e+003,0.00000000000000e+000
5.62341325190348e+003	6.31411957768353e-005,3.55302684834086e-003	2.81405734904350e+003,0.00000000000000e+000
5.75439937337156e+003	6.61527499586399e-005,3.63674431321383e-003	2.74925734401028e+003,0.00000000000000e+000
5.88843655355588e+003	6.93097203955102e-005,3.72248075998034e-003	2.68591504344971e+003,0.00000000000000e+000
6.02559586074357e+003	7.26193014611563e-005,3.81028821191916e-003	2.62399686329308e+003,0.00000000000000e+000
6.16595001861481e+003	7.60890602172758e-005,3.90022026919206e-003	2.56346997462178e+003,0.00000000000000e+000
6.30957344480192e+003	7.97269573300685e-005,3.99233217265764e-003	2.50430228626569e+003,0.00000000000000e+000
6.45654229034654e+003	8.35413693122713e-005,4.08668087122956e-003	2.44646242779299e+003,0.00000000000000e+000
6.60693448007595e+003	8.75411121884545e-005,4.18332509302374e-003	2.38991973288252e+003,0.00000000000000e+000
6.76082975391980e+003	9.17354666897092e-005,4.28232542055890e-003	2.33464422306986e+003,0.00000000000000e+000
6.91830970918935e+003	9.61342050930745e-005,4.38374437029536e-003	2.28060659185864e+003,0.00000000000000e+000
7.07945784384136e+003	1.00747619831171e-004,4.48764647681976e-003	2.22777818918851e+003,0.00000000000000e+000
7.24435960074989e+003	1.05586554008642e-004,4.59409838200834e-003	2.17613100625174e+003,0.00000000000000e+000
7.41310241300916e+003	1.10662433974262e-004,4.70316892952785e-003	2.12563766065041e+003,0.00000000000000e+000
7.58577575029182e+003	1.15987304111067e-004,4.81492926506307e-003	2.07627138188621e+003,0.00000000000000e+000
7.76247116628690e+003	1.21573864021754e-004,4.92945294269123e-003	2.02800599717550e+003,0.00000000000000e+000
7.94328234724280e+003	1.27435508303031e-004,5.04681603785903e-003	1.98081591758186e+003,0.00000000000000e+000
8.12830516164097e+003	1.33586369120761e-004,5.16709726745565e-003	1.93467612445904e+003,0.00000000000000e+000
8.31763771102669e+003	1.40041361817822e-004,5.29037811751678e-003	1.88956215619705e+003,0.00000000000000e+000
8.51138038202374e+003	1.46816233808829e-004,5.41674297914031e-003	1.84545009526461e+003,0.00000000000000e+000
8.70963589956079e+003	1.53927617040534e-004,5.54627929324380e-003	1.80231655554090e+003,0.00000000000000e+000
8.91250938133744e+003	1.61393084324006e-004,5.67907770484852e-003	1.76013866993026e+003,0.00000000000000e+000
9.12010839355908e+003	1.69231209875079e-004,5.81523222763449e-003	1.71889407825314e+003,0.00000000000000e+000
9.33254300796989e+003	1.77461634433282e-004,5.95484041957630e-003	1.67856091540713e+003,0.00000000000000e+000
9.54992586021434e+003	1.86105135367010e-004,6.09800357054165e-003	1.63911779979176e+003,0.00000000000000e+000
9.77237220955809e+003	1.95183702214535e-004,6.24482690281343e-003	1.60054382199123e+003,0.00000000000000e+000
9.99999999999998e+003	2.04720618157109e-004,6.39541978558310e-003	1.56281853370900e+003,0.00000000000000e+000
1.02329299228075e+004	2.14740547972500e-004,6.54989596455879e-003	1.52592193694864e+003,0.00000000000000e+000
1.04712854805090e+004	2.25269633075582e-004,6.70837380793731e-003	1.48983447343536e+003,0.00000000000000e+000
1.07151930523760e+004	2.36335594317749e-004,6.87097657010540e-003	1.45453701427270e+003,0.00000000000000e+000
1.09647819614318e+004	2.47967843290029e-004,7.03783267456422e-003	1.42001084982913e+003,0.00000000000000e+000
1.12201845430196e+004	2.60197602956735e-004,7.20907601771310e-003	1.38623767984945e+003,0.00000000000000e+000
1.14815362149688e+004	2.73058038538616e-004,7.38484629528623e-003	1.35319960378584e+003,0.00000000000000e+000
1.17489755493953e+004	2.86584399668103e-004,7.56528935340976e-003	1.32087911134385e+003,0.00000000000000e+000
1.20226443461741e+004	3.00814174955999e-004,7.75055756644064e-003	1.28925907323847e+003,0.00000000000000e+000
1.23026877081238e+004	3.15787260240667e-004,7.94081024396280e-003	1.25832273215568e+003,0.00000000000000e+000
1.25892541179416e+004	3.31546141939556e-004,8.13621406955542e-003	1.22805369391513e+003,0.00000000000000e+000
1.28824955169313e+004	3.48136097091273e-004,8.33694357421343e-003	1.19843591882952e+003,0.00000000000000e+000
1.31825673855640e+004	3.65605411867109e-004,8.54318164759685e-003	1.16945371325655e+003,0.00000000000000e+000
1.34896288259165e+004	3.84005620547416e-004,8.75512009061605e-003	1.14109172133947e+003,0.00000000000000e+000
1.38038426460288e+004	4.03391767204205e-004,8.97296021322923e-003	1.11333491693224e+003,0.00000000000000e+000
1.41253754462275e+004	4.23822692611426e-004,9.19691348174198e-003	1.08616859570571e+003,0.00000000000000e+000
