Freq.	I(R1)	abs(V(n001))/abs(I(R1))
3.23593656929626e+005	6.06736717263373e-004,-1.09989448180390e-002	9.07797968068259e+002,0.00000000000000e+000
3.31131121482589e+005	5.76696152887426e-004,-1.07240078975285e-002	9.31141789034548e+002,0.00000000000000e+000
3.38844156139200e+005	5.48264952230678e-004,-1.04570647397987e-002	9.54979618439572e+002,0.00000000000000e+000
3.46736850452529e+005	5.21345740633891e-004,-1.01978066957678e-002	9.79324073159169e+002,0.00000000000000e+000
3.54813389233573e+005	4.95848039740077e-004,-9.94594185168047e-003	1.00418804039740e+003,0.00000000000000e+000
3.63078054770099e+005	4.71687690761157e-004,-9.70119385238676e-003	1.02958468437885e+003,0.00000000000000e+000
3.71535229097170e+005	4.48786333686846e-004,-9.46330082236811e-003	1.05552745320048e+003,0.00000000000000e+000
3.80189396320558e+005	4.27070936302270e-004,-9.23201437532674e-003	1.08203008584538e+003,0.00000000000000e+000
3.89045144994278e+005	4.06473367625800e-004,-9.00709870411210e-003	1.10910661936102e+003,0.00000000000000e+000
3.98107170553494e+005	3.86930011024756e-004,-8.78832974361049e-003	1.13677139620479e+003,0.00000000000000e+000
4.07380277804110e+005	3.68381412827661e-004,-8.57549439997683e-003	1.16503907175995e+003,0.00000000000000e+000
4.16869383470332e+005	3.50771962740733e-004,-8.36838984025673e-003	1.19392462202492e+003,0.00000000000000e+000
4.26579518801589e+005	3.34049602802180e-004,-8.16682283704108e-003	1.22344335147960e+003,0.00000000000000e+000
4.36515832240163e+005	3.18165561980455e-004,-7.97060916332407e-003	1.25361090113203e+003,0.00000000000000e+000
4.46683592150960e+005	3.03074113848493e-004,-7.77957303320712e-003	1.28444325674908e+003,0.00000000000000e+000
4.57088189614872e+005	2.88732355051597e-004,-7.59354658451136e-003	1.31595675727521e+003,0.00000000000000e+000
4.67735141287195e+005	2.75100002537818e-004,-7.41236939973750e-003	1.34816810344307e+003,0.00000000000000e+000
4.78630092322635e+005	2.62139207740129e-004,-7.23588806214766e-003	1.38109436658024e+003,0.00000000000000e+000
4.89778819368442e+005	2.49814386094469e-004,-7.06395574404555e-003	1.41475299761633e+003,0.00000000000000e+000
5.01187233627268e+005	2.38092060449069e-004,-6.89643182460107e-003	1.44916183629496e+003,0.00000000000000e+000
5.12861383991361e+005	2.26940717072318e-004,-6.73318153480841e-003	1.48433912059505e+003,0.00000000000000e+000
5.24807460249768e+005	2.16330673100433e-004,-6.57407562738492e-003	1.52030349636628e+003,0.00000000000000e+000
5.37031796370248e+005	2.06233954385350e-004,-6.41899006961447e-003	1.55707402718351e+003,0.00000000000000e+000
5.49540873857620e+005	1.96624182808560e-004,-6.26780575731610e-003	1.59467020442519e+003,0.00000000000000e+000
5.62341325190345e+005	1.87476472220620e-004,-6.12040824827859e-003	1.63311195758082e+003,0.00000000000000e+000
5.75439937337152e+005	1.78767332249405e-004,-5.97668751364613e-003	1.67241966479283e+003,0.00000000000000e+000
5.88843655355584e+005	1.70474579294559e-004,-5.83653770587035e-003	1.71261416363826e+003,0.00000000000000e+000
6.02559586074353e+005	1.62577254092003e-004,-5.69985694196284e-003	1.75371676215575e+003,0.00000000000000e+000
6.16595001861477e+005	1.55055545291578e-004,-5.56654710088874e-003	1.79574925012367e+003,0.00000000000000e+000
6.30957344480188e+005	1.47890718543867e-004,-5.43651363403966e-003	1.83873391059511e+003,0.00000000000000e+000
6.45654229034650e+005	1.41065050639795e-004,-5.30966538781208e-003	1.88269353169574e+003,0.00000000000000e+000
6.60693448007591e+005	1.34561768289023e-004,-5.18591443739780e-003	1.92765141869083e+003,0.00000000000000e+000
6.76082975391976e+005	1.28364991161432e-004,-5.06517593096580e-003	1.97363140632754e+003,0.00000000000000e+000
6.91830970918931e+005	1.22459678850257e-004,-4.94736794348150e-003	2.02065787145903e+003,0.00000000000000e+000
7.07945784384132e+005	1.16831581446191e-004,-4.83241133946972e-003	2.06875574595701e+003,0.00000000000000e+000
7.24435960074984e+005	1.11467193439756e-004,-4.72022964408314e-003	2.11795052991946e+003,0.00000000000000e+000
7.41310241300911e+005	1.06353710694033e-004,-4.61074892188824e-003	2.16826830518049e+003,0.00000000000000e+000
7.58577575029177e+005	1.01478990252623e-004,-4.50389766282705e-003	2.21973574912941e+003,0.00000000000000e+000
7.76247116628685e+005	9.68315127679881e-005,-4.39960667485490e-003	2.27238014884624e+003,0.00000000000000e+000
7.94328234724275e+005	9.24003473538282e-005,-4.29780898279311e-003	2.32622941556123e+003,0.00000000000000e+000
8.12830516164092e+005	8.81751186818225e-005,-4.19843973297090e-003	2.38131209944589e+003,0.00000000000000e+000
8.31763771102664e+005	8.41459761581292e-005,-4.10143610326299e-003	2.43765740474332e+003,0.00000000000000e+000
8.51138038202369e+005	8.03035650288771e-005,-4.00673721815931e-003	2.49529520524591e+003,0.00000000000000e+000
8.70963589956073e+005	7.66389992761309e-005,-3.91428406853029e-003	2.55425606012853e+003,0.00000000000000e+000
8.91250938133738e+005	7.31438361772969e-005,-3.82401943577634e-003	2.61457123014555e+003,0.00000000000000e+000
9.12010839355902e+005	6.98100524110667e-005,-3.73588782007311e-003	2.67627269420024e+003,0.00000000000000e+000
9.33254300796983e+005	6.66300216024426e-005,-3.64983537244539e-003	2.73939316629537e+003,0.00000000000000e+000
9.54992586021428e+005	6.35964932078320e-005,-3.56580983042178e-003	2.80396611287391e+003,0.00000000000000e+000
9.77237220955802e+005	6.07025726489953e-005,-3.48376045704036e-003	2.87002577055903e+003,0.00000000000000e+000
1.00000000000000e+006	5.79417026117193e-005,-3.40363798299218e-003	2.93760716430272e+003,0.00000000000000e+000
