ravdjlg
0	0	0	0
0.00004	4.84	1.56	3.28
0.00008	4.92	2.68	2.24
0.00012	4.96	3.44	1.52
0.00016	5	3.88	1.12
0.0002	5	4.24	0.76
0.00024	5	4.48	0.52
0.00028	5.04	4.64	0.4
0.00032	5	4.8	0.2
0.00036	5	4.88	0.12
0.0004	5.04	4.92	0.12
0.00044	5.04	4.96	0.08
0.00048	5.04	5	0.04
0.0005	5	5	0
0.00054	0.12	3.52	-3.4
0.00058	0.08	2.4	-2.32
0.00062	0.04	1.64	-1.6
0.00066	0	1.04	-1.04
0.0007	0	0.76	-0.76
0.00074	0	0.52	-0.52
0.00078	0	0.32	-0.32
0.00082	0	0.2	-0.2
0.00086	0	0.16	-0.16
0.0009	0	0.12	-0.12
0.00094	0	0.04	-0.04
0.00098	0	0.04	-0.04
